ID     | Command line              | Date and time    | Action(s)      | Altered
--------------------------------------------------------------------------------
   476 | update                    | 2020-06-02 11:18 | E, I, U        |   19   
   475 | update                    | 2020-06-01 22:28 | Upgrade        |    3   
   474 | update                    | 2020-05-31 10:14 | Upgrade        |    2   
   473 | update                    | 2020-05-30 22:45 | Upgrade        |    6   
   472 | update                    | 2020-05-29 09:49 | Upgrade        |   23 EE
   471 | update                    | 2020-05-28 18:31 | Upgrade        |   63 EE
   470 | update                    | 2020-05-26 17:01 | Upgrade        |    1   
   469 | update                    | 2020-05-25 15:00 | Upgrade        |   22   
   468 | update                    | 2020-05-24 18:17 | Upgrade        |    1   
   467 | update                    | 2020-05-23 08:29 | Upgrade        |   13   
   466 | update                    | 2020-05-21 23:48 | Upgrade        |    2   
   465 | update                    | 2020-05-20 18:30 | E, I, U        |   14 EE
   464 | update                    | 2020-05-19 19:06 | Upgrade        |    2   
   463 | update                    | 2020-05-18 19:01 | Upgrade        |    3 EE
   462 | update                    | 2020-05-17 11:57 | O, U           |   26   
   461 | update                    | 2020-05-16 12:06 | Upgrade        |    5   
   460 | update                    | 2020-05-16 00:22 | Upgrade        |    1   
   459 | update                    | 2020-05-14 22:36 | Upgrade        |    1   
   458 | update                    | 2020-05-13 18:58 | Upgrade        |    2   
   457 | update                    | 2020-05-12 22:38 | E, I, U        |   19   
   456 | update                    | 2020-05-11 18:41 | Upgrade        |   35   
   455 | update                    | 2020-05-10 10:02 | Upgrade        |   10   
   454 | update                    | 2020-05-09 09:58 | Upgrade        |   32   
   453 | update                    | 2020-05-08 17:52 | Upgrade        |   21 EE
   452 | update                    | 2020-05-07 22:15 | Upgrade        |   22   
   451 | update                    | 2020-05-06 11:07 | Upgrade        |   66   
   450 | update                    | 2020-05-05 23:16 | Upgrade        |    2   
   449 | update                    | 2020-05-04 18:40 | Upgrade        |   11   
   448 | update                    | 2020-05-03 09:44 | Upgrade        |   14   
   447 | update                    | 2020-05-02 10:37 | E, I, U        |   12   
   446 | update                    | 2020-05-01 21:52 | Upgrade        |    6   
   445 | update                    | 2020-04-30 22:52 | Upgrade        |   20 EE
   444 | update                    | 2020-04-29 21:58 | E, I, U        |   11   
   443 | update                    | 2020-04-28 18:50 | Upgrade        |   11 EE
   442 | update                    | 2020-04-26 10:09 | Upgrade        |   25   
   441 | update                    | 2020-04-25 23:17 | E, I, U        |   37   
   440 | update                    | 2020-04-23 19:01 | I, U           |   43   
   439 | update                    | 2020-04-20 09:19 | Upgrade        |    5   
   438 | update                    | 2020-04-18 12:31 | E, I, U        |   68 EE
